nro_reuniao,data,score,n_hawkish,n_dovish
232,2020-08-05,0.0,0,0
233,2020-09-16,0.0,0,0
234,2020-10-28,3.0,1,0
235,2020-12-09,3.0,1,0
236,2021-01-20,3.0,1,0
237,2021-03-17,3.0,1,0
238,2021-05-05,0.0,0,0
239,2021-06-16,3.0,1,0
240,2021-08-04,0.0,0,0
241,2021-09-22,0.0,0,0
242,2021-10-27,0.0,1,1
243,2021-12-08,0.0,0,0
244,2022-02-02,3.0,2,0
245,2022-03-16,3.0,2,0
246,2022-05-04,3.0,2,0
247,2022-06-15,3.0,2,0
248,2022-08-03,1.0,2,1
249,2022-09-21,1.0,2,1
250,2022-10-26,1.0,2,1
251,2022-12-07,1.0,2,1
252,2023-02-01,1.5,3,1
253,2023-03-22,0.0,1,1
254,2023-05-03,3.0,1,0
255,2023-06-21,3.0,5,0
256,2023-08-02,3.0,3,0
257,2023-09-20,3.0,4,0
258,2023-11-01,1.0,2,1
259,2023-12-13,3.0,2,0
260,2024-01-31,3.0,1,0
261,2024-03-20,0.0,0,0
262,2024-05-08,3.0,1,0
263,2024-06-19,-3.0,0,1
264,2024-07-31,-3.0,0,1
265,2024-09-18,0.0,0,0
266,2024-11-06,0.0,0,0
267,2024-12-11,3.0,1,0
268,2025-01-29,-1.0,1,2
269,2025-03-19,-3.0,0,2
270,2025-05-07,-3.0,0,1
271,2025-06-18,-3.0,0,1
272,2025-07-30,0.0,1,1
273,2025-09-17,-3.0,0,2
274,2025-11-05,-1.0,1,2
275,2025-12-10,-1.0,1,2
276,2026-01-28,0.0,2,2
277,2026-03-18,-1.0,1,2
278,2026-04-29,-1.0,1,2
279,2026-06-17,-1.0,1,2
280,2026-08-05,-1.0,1,2
281,2026-09-16,-1.0,1,2
